,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score overall
precision,0.998566651,1,0.999283753,0.999283325,0.99928478,sessions_labeled_emotion_disgust,random_forest,0.999283753
recall,0.921700224,0.802699896,0.862823674,0.86220006,0.862823674,sessions_labeled_agency,decision_tree,0.862823674
f1-score,0.871622271,0.852730281,0.862823674,0.862176276,0.862275279,sessions_labeled_agency,decision_tree,0.862823674
support,4917,4815,0.862823674,9732,9732,sessions_labeled_agency,decision_tree,0.862823674
precision,0.999289941,1,0.999641705,0.99964497,0.99964196,sessions_labeled_emotion_sadness,random_forest,0.999641705
recall,0.980970969,0.970331588,0.975709001,0.975651278,0.975709001,sessions_labeled_agency,random_forest,0.975709001
f1-score,0.976089331,0.975316376,0.975709001,0.975702854,0.975707047,sessions_labeled_agency,random_forest,0.975709001
support,4099,4011,0.975709001,8110,8110,sessions_labeled_agency,random_forest,0.975709001
precision,0.999763258,1,0.99988064,0.999881629,0.999880668,sessions_labeled_emotion_shame,random_forest,0.99988064
recall,0.79906447,0.982969886,0.890053432,0.891017178,0.890053432,sessions_labeled_agency,KNN,0.890053432
f1-score,0.88015233,0.898443432,0.890053432,0.889297881,0.889202027,sessions_labeled_agency,KNN,0.890053432
support,4917,4815,0.890053432,9732,9732,sessions_labeled_agency,KNN,0.890053432
precision,0.998811505,0.999759731,0.999283068,0.999285618,0.999283522,sessions_labeled_emotion_anxiety,random_forest,0.999283068
recall,0.992190711,0,0.960031815,0.496095356,0.960031815,sessions_labeled_agency,SVM,0.960031815
f1-score,0.9796084,0,0.960031815,0.4898042,0.947857323,sessions_labeled_agency,SVM,0.960031815
support,4866,163,0.960031815,5029,5029,sessions_labeled_agency,SVM,0.960031815
precision,0.997138087,0.999280748,0.9982066,0.998209418,0.998208905,sessions_labeled_emotion_anger,random_forest,0.9982066
recall,0.915424889,0.873556106,0.894742205,0.894490497,0.894742205,sessions_labeled_agency_012,decision_tree,0.894742205
f1-score,0.897975309,0.891297485,0.894742205,0.894636397,0.894676543,sessions_labeled_agency_012,decision_tree,0.894742205
support,4966,4848,0.894742205,9814,9814,sessions_labeled_agency_012,decision_tree,0.894742205
precision,0.990692124,0.998058252,0.994344164,0.994375188,0.994371643,sessions_labeled_regret_765,random_forest,0.994344164
recall,0.987557941,0.974993871,0.981291269,0.981275906,0.981291269,sessions_labeled_agency_012,random_forest,0.981291269
f1-score,0.981452297,0.981127421,0.981291269,0.981289859,0.981290256,sessions_labeled_agency_012,random_forest,0.981291269
support,4099,4079,0.981291269,8178,8178,sessions_labeled_agency_012,random_forest,0.981291269
precision,0.990016639,0.997802734,0.993857642,0.993909687,0.993888587,sessions_labeled_emotion_boredom,random_forest,0.993857642
recall,0.83326621,0.986386139,0.908905645,0.909826174,0.908905645,sessions_labeled_agency_012,KNN,0.908905645
f1-score,0.902508179,0.914515204,0.908905645,0.908511691,0.908439507,sessions_labeled_agency_012,KNN,0.908905645
support,4966,4848,0.908905645,9814,9814,sessions_labeled_agency_012,KNN,0.908905645
precision,0.990073269,0.99754962,0.993743985,0.993811444,0.993772767,sessions_labeled_time_765,random_forest,0.993743985
recall,0.994094889,0,0.970769537,0.497047445,0.970769537,sessions_labeled_agency_012,SVM,0.970769537
f1-score,0.985167995,0,0.970769537,0.492583998,0.962052103,sessions_labeled_agency_012,SVM,0.970769537
support,4911,118,0.970769537,5029,5029,sessions_labeled_agency_012,SVM,0.970769537
precision,0.99374549,0.997117463,0.995432692,0.995431476,0.995438366,sessions_labeled_emotion_interest,random_forest,0.995432692
recall,0.955493741,0.934252598,0.944903856,0.94487317,0.944903856,sessions_labeled_emotion_anger,decision_tree,0.944903856
f1-score,0.945629732,0.944158336,0.944903856,0.944894034,0.944896159,sessions_labeled_emotion_anger,decision_tree,0.944903856
support,5033,5004,0.944903856,10037,10037,sessions_labeled_emotion_anger,decision_tree,0.944903856
precision,0.988089566,0.996056199,0.992004846,0.992072883,0.992037658,sessions_labeled_space_012,random_forest,0.992004846
recall,0.999282983,0.997129187,0.9982066,0.998206085,0.9982066,sessions_labeled_emotion_anger,random_forest,0.9982066
