,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
precision,0.6703910614525139,0.6986301369863014,0.683076923076923,0.6845105992194076,0.6843802650246363,sessions_labeled_agency,decision_tree,0.683076923076923
recall,0.7317073170731707,0.6335403726708074,0.683076923076923,0.682623844871989,0.683076923076923,sessions_labeled_agency,decision_tree,0.683076923076923
f1-score,0.6997084548104956,0.6644951140065146,0.683076923076923,0.6821017844085051,0.6822643075199081,sessions_labeled_agency,decision_tree,0.683076923076923
support,164.0,161.0,0.683076923076923,325.0,325.0,sessions_labeled_agency,decision_tree,0.683076923076923
precision,0.6715328467153284,0.6567164179104478,0.6642066420664207,0.6641246323128881,0.6642613152354423,sessions_labeled_agency,random_forest,0.6642066420664207
recall,0.6666666666666666,0.6616541353383458,0.6642066420664207,0.6641604010025062,0.6642066420664207,sessions_labeled_agency,random_forest,0.6642066420664207
f1-score,0.6690909090909091,0.6591760299625468,0.6642066420664207,0.6641334695267279,0.6642249352013438,sessions_labeled_agency,random_forest,0.6642066420664207
support,138.0,133.0,0.6642066420664207,271.0,271.0,sessions_labeled_agency,random_forest,0.6642066420664207
precision,0.5234899328859061,0.5113636363636364,0.5169230769230769,0.5174267846247712,0.5174827521471818,sessions_labeled_agency,KNN,0.5169230769230769
recall,0.47560975609756095,0.5590062111801242,0.5169230769230769,0.5173079836388426,0.5169230769230769,sessions_labeled_agency,KNN,0.5169230769230769
f1-score,0.4984025559105431,0.5341246290801187,0.5169230769230769,0.5162635924953309,0.5160987213883943,sessions_labeled_agency,KNN,0.5169230769230769
support,164.0,161.0,0.5169230769230769,325.0,325.0,sessions_labeled_agency,KNN,0.5169230769230769
precision,0.6875,0.5270758122743683,0.5507692307692308,0.6072879061371841,0.6080283254651486,sessions_labeled_agency,naive_bayes,0.5507692307692308
recall,0.20121951219512196,0.906832298136646,0.5507692307692308,0.554025905165884,0.5507692307692308,sessions_labeled_agency,naive_bayes,0.5507692307692308
f1-score,0.3113207547169811,0.6666666666666667,0.5507692307692308,0.48899371069182396,0.4873536526366715,sessions_labeled_agency,naive_bayes,0.5507692307692308
support,164.0,161.0,0.5507692307692308,325.0,325.0,sessions_labeled_agency,naive_bayes,0.5507692307692308
precision,0.562874251497006,0.5569620253164557,0.56,0.5599181384067309,0.5599454256044872,sessions_labeled_agency,SVM,0.56
recall,0.573170731707317,0.546583850931677,0.56,0.559877291319497,0.56,sessions_labeled_agency,SVM,0.56
f1-score,0.56797583081571,0.5517241379310345,0.56,0.5598499843733722,0.5599249921866861,sessions_labeled_agency,SVM,0.56
support,164.0,161.0,0.56,325.0,325.0,sessions_labeled_agency,SVM,0.56
precision,0.75,0.674074074074074,0.7078189300411523,0.712037037037037,0.7131306203322665,sessions_labeled_agency_012,decision_tree,0.7078189300411523
recall,0.648,0.7711864406779662,0.7078189300411523,0.7095932203389831,0.7078189300411523,sessions_labeled_agency_012,decision_tree,0.7078189300411523
f1-score,0.6952789699570815,0.7193675889328062,0.7078189300411523,0.7073232794449438,0.706976324027598,sessions_labeled_agency_012,decision_tree,0.7078189300411523
support,125.0,118.0,0.7078189300411523,243.0,243.0,sessions_labeled_agency_012,decision_tree,0.7078189300411523
precision,0.6633663366336634,0.6862745098039216,0.6748768472906403,0.6748204232187924,0.6751025435780321,sessions_labeled_agency_012,random_forest,0.6748768472906403
recall,0.6767676767676768,0.6730769230769231,0.6748768472906403,0.6749222999222999,0.6748768472906403,sessions_labeled_agency_012,random_forest,0.6748768472906403
f1-score,0.67,0.6796116504854369,0.6748768472906403,0.6748058252427185,0.6749241953225884,sessions_labeled_agency_012,random_forest,0.6748768472906403
support,99.0,104.0,0.6748768472906403,203.0,203.0,sessions_labeled_agency_012,random_forest,0.6748768472906403
precision,0.5042016806722689,0.47580645161290325,0.4897119341563786,0.49000406614258607,0.49041305092327653,sessions_labeled_agency_012,KNN,0.4897119341563786
recall,0.48,0.5,0.4897119341563786,0.49,0.4897119341563786,sessions_labeled_agency_012,KNN,0.4897119341563786
f1-score,0.4918032786885245,0.48760330578512395,0.4897119341563786,0.48970329223682424,0.4897637856737045,sessions_labeled_agency_012,KNN,0.4897119341563786
support,125.0,118.0,0.4897119341563786,243.0,243.0,sessions_labeled_agency_012,KNN,0.4897119341563786
precision,0.7931034482758621,0.5233644859813084,0.5555555555555556,0.6582339671285853,0.6621190962151323,sessions_labeled_agency_012,naive_bayes,0.5555555555555556
recall,0.184,0.9491525423728814,0.5555555555555556,0.5665762711864407,0.5555555555555556,sessions_labeled_agency_012,naive_bayes,0.5555555555555556
f1-score,0.29870129870129875,0.6746987951807228,0.5555555555555556,0.48670004694101077,0.48128444513986685,sessions_labeled_agency_012,naive_bayes,0.5555555555555556
