,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
precision,0.6,0.45,0.5,0.525,0.535,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,decision_tree,0.5
recall,0.35294117647058826,0.6923076923076923,0.5,0.5226244343891403,0.5,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,decision_tree,0.5
f1-score,0.4444444444444445,0.5454545454545455,0.5,0.49494949494949503,0.4882154882154882,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,decision_tree,0.5
support,17.0,13.0,0.5,30.0,30.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,decision_tree,0.5
precision,0.5,0.4,0.44,0.45,0.456,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,random_forest,0.44
recall,0.35714285714285715,0.5454545454545454,0.44,0.4512987012987013,0.44,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,random_forest,0.44
f1-score,0.41666666666666663,0.4615384615384615,0.44,0.4391025641025641,0.4364102564102563,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,random_forest,0.44
support,14.0,11.0,0.44,25.0,25.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,random_forest,0.44
precision,1.0,0.5416666666666666,0.6333333333333333,0.7708333333333333,0.8013888888888888,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,naive_bayes,0.6333333333333333
recall,0.35294117647058826,1.0,0.6333333333333333,0.6764705882352942,0.6333333333333333,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,naive_bayes,0.6333333333333333
f1-score,0.5217391304347826,0.7027027027027027,0.6333333333333333,0.6122209165687427,0.600156678417548,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,naive_bayes,0.6333333333333333
support,17.0,13.0,0.6333333333333333,30.0,30.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,naive_bayes,0.6333333333333333
precision,0.0,0.0,0.0,0.0,0.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,decision_tree,0.0
recall,0.0,0.0,0.0,0.0,0.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,decision_tree,0.0
f1-score,0.0,0.0,0.0,0.0,0.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,decision_tree,0.0
support,0.0,1.0,0.0,1.0,1.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,decision_tree,0.0
precision,0.0,0.0,0.0,0.0,0.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,random_forest,0.0
recall,0.0,0.0,0.0,0.0,0.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,random_forest,0.0
f1-score,0.0,0.0,0.0,0.0,0.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,random_forest,0.0
support,0.0,1.0,0.0,1.0,1.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,random_forest,0.0
precision,0.0,0.0,0.0,0.0,0.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,naive_bayes,0.0
recall,0.0,0.0,0.0,0.0,0.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,naive_bayes,0.0
f1-score,0.0,0.0,0.0,0.0,0.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,naive_bayes,0.0
support,0.0,1.0,0.0,1.0,1.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_anxiety-fear,naive_bayes,0.0
precision,0.36363636363636365,0.3333333333333333,0.35,0.3484848484848485,0.3484848484848485,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,decision_tree,0.35
recall,0.4,0.3,0.35,0.35,0.35,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,decision_tree,0.35
f1-score,0.380952380952381,0.3157894736842105,0.35,0.3483709273182958,0.3483709273182957,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,decision_tree,0.35
support,10.0,10.0,0.35,20.0,20.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,decision_tree,0.35
precision,0.3,0.3333333333333333,0.3125,0.31666666666666665,0.31875,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,random_forest,0.3125
recall,0.42857142857142855,0.2222222222222222,0.3125,0.32539682539682535,0.3125,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,random_forest,0.3125
f1-score,0.3529411764705882,0.26666666666666666,0.3125,0.30980392156862746,0.3044117647058823,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,random_forest,0.3125
support,7.0,9.0,0.3125,16.0,16.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,random_forest,0.3125
precision,0.6666666666666666,0.5714285714285714,0.6,0.6190476190476191,0.619047619047619,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,naive_bayes,0.6
recall,0.4,0.8,0.6,0.6000000000000001,0.6,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,naive_bayes,0.6
f1-score,0.5,0.6666666666666666,0.6,0.5833333333333333,0.5833333333333333,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,naive_bayes,0.6
support,10.0,10.0,0.6,20.0,20.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_boredom-indifference,naive_bayes,0.6
precision,0.8571428571428571,0.7368421052631579,0.8,0.7969924812030075,0.8060150375939849,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,decision_tree,0.8
recall,0.782608695652174,0.8235294117647058,0.8,0.80306905370844,0.8,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,decision_tree,0.8
f1-score,0.8181818181818182,0.7777777777777778,0.8,0.797979797979798,0.8010101010101011,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,decision_tree,0.8
support,23.0,17.0,0.8,40.0,40.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,decision_tree,0.8
precision,0.875,0.6470588235294118,0.7575757575757576,0.7610294117647058,0.7852049910873441,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,random_forest,0.7575757575757576
recall,0.7,0.8461538461538461,0.7575757575757576,0.773076923076923,0.7575757575757576,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,random_forest,0.7575757575757576
f1-score,0.7777777777777777,0.7333333333333334,0.7575757575757576,0.7555555555555555,0.7602693602693602,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,random_forest,0.7575757575757576
support,20.0,13.0,0.7575757575757576,33.0,33.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,random_forest,0.7575757575757576
precision,0.6666666666666666,0.7,0.675,0.6833333333333333,0.6808333333333333,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,naive_bayes,0.675
recall,0.8695652173913043,0.4117647058823529,0.675,0.6406649616368286,0.675,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,naive_bayes,0.675
f1-score,0.7547169811320754,0.5185185185185185,0.675,0.636617749825297,0.6543326345213136,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,naive_bayes,0.675
support,23.0,17.0,0.675,40.0,40.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_calm-contentment,naive_bayes,0.675
precision,0.6,0.6428571428571429,0.6190476190476191,0.6214285714285714,0.6217687074829932,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,decision_tree,0.6190476190476191
recall,0.6774193548387096,0.5625,0.6190476190476191,0.6199596774193548,0.6190476190476191,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,decision_tree,0.6190476190476191
f1-score,0.6363636363636364,0.6000000000000001,0.6190476190476191,0.6181818181818182,0.6178932178932179,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,decision_tree,0.6190476190476191
support,31.0,32.0,0.6190476190476191,63.0,63.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,decision_tree,0.6190476190476191
precision,0.5,0.5384615384615384,0.5192307692307693,0.5192307692307692,0.5199704142011835,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,random_forest,0.5192307692307693
recall,0.52,0.5185185185185185,0.5192307692307693,0.5192592592592593,0.5192307692307693,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,random_forest,0.5192307692307693
f1-score,0.5098039215686274,0.5283018867924528,0.5192307692307693,0.5190529041805401,0.5194086342809983,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,random_forest,0.5192307692307693
support,25.0,27.0,0.5192307692307693,52.0,52.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,random_forest,0.5192307692307693
