,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
precision,0.5833333333333334,0.4444444444444444,0.5,0.5138888888888888,0.5231481481481483,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,decision_tree,0.5
recall,0.4117647058823529,0.6153846153846154,0.5,0.5135746606334841,0.5,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,decision_tree,0.5
f1-score,0.4827586206896552,0.5161290322580646,0.5,0.4994438264738599,0.49721913236929927,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,decision_tree,0.5
support,17.0,13.0,0.5,30.0,30.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,decision_tree,0.5
precision,0.5,0.4,0.44,0.45,0.456,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,random_forest,0.44
recall,0.35714285714285715,0.5454545454545454,0.44,0.4512987012987013,0.44,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,random_forest,0.44
f1-score,0.41666666666666663,0.4615384615384615,0.44,0.4391025641025641,0.4364102564102563,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,random_forest,0.44
support,14.0,11.0,0.44,25.0,25.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,random_forest,0.44
precision,1.0,0.5416666666666666,0.6333333333333333,0.7708333333333333,0.8013888888888888,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,naive_bayes,0.6333333333333333
recall,0.35294117647058826,1.0,0.6333333333333333,0.6764705882352942,0.6333333333333333,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,naive_bayes,0.6333333333333333
f1-score,0.5217391304347826,0.7027027027027027,0.6333333333333333,0.6122209165687427,0.600156678417548,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,naive_bayes,0.6333333333333333
support,17.0,13.0,0.6333333333333333,30.0,30.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_agency_0.0,naive_bayes,0.6333333333333333
precision,0.6,0.6428571428571429,0.6190476190476191,0.6214285714285714,0.6217687074829932,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,decision_tree,0.6190476190476191
recall,0.6774193548387096,0.5625,0.6190476190476191,0.6199596774193548,0.6190476190476191,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,decision_tree,0.6190476190476191
f1-score,0.6363636363636364,0.6000000000000001,0.6190476190476191,0.6181818181818182,0.6178932178932179,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,decision_tree,0.6190476190476191
support,31.0,32.0,0.6190476190476191,63.0,63.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,decision_tree,0.6190476190476191
precision,0.52,0.5555555555555556,0.5384615384615384,0.5377777777777778,0.5384615384615384,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_happiness-elation,random_forest,0.5384615384615384
